customer_state,total_revenue,order_volume
SP,5921678.12,41375
RJ,2129681.98,12762
MG,1856161.49,11544
RS,885826.76,5432
PR,800935.44,4998
BA,611506.67,3358
SC,610213.6,3612
DF,353229.44,2125
GO,347706.93,2007
ES,324801.91,2025
PE,322237.69,1648
CE,275606.3,1327
PA,217647.11,970
MT,186168.96,903
MA,151171.99,740
PB,140987.81,532
MS,135956.67,709
PI,108132.28,493
RN,101895.08,482
AL,96229.4,411
SE,73032.32,345
TO,61354.42,279
RO,57558.02,247
AM,27835.73,147
AC,19669.7,81
AP,16262.8,68
RR,10064.62,46
