order_status,category_english,lost_revenue,total_orders
canceled,cool_stuff,15153.48,15
canceled,sports_leisure,9411.85,47
canceled,computers_accessories,8330.82,35
canceled,watches_gifts,7249.14,20
canceled,auto,6731.72,24
canceled,housewares,6362.63,37
canceled,garden_tools,4694.01,13
canceled,toys,4589.26,31
canceled,musical_instruments,4116.05,8
canceled,health_beauty,3582.29,36
canceled,small_appliances,2937.33,8
canceled,furniture_decor,2885.75,24
canceled,home_appliances_2,2862.4,3
canceled,consoles_games,2653.64,8
canceled,electronics,2180.51,6
canceled,perfumery,2173.91,14
canceled,fixed_telephony,1806.76,3
canceled,baby,1605.81,16
canceled,stationery,1589.53,12
canceled,telephony,1577.3,16
canceled,dvds_blu_ray,1483.76,2
canceled,Unknown,1480.46,16
canceled,books_general_interest,1393.71,7
canceled,fashion_bags_accessories,1338.78,6
canceled,bed_bath_table,1295.59,18
canceled,construction_tools_lights,1152.62,1
canceled,construction_tools_safety,1043.03,2
canceled,pet_shop,699.69,4
canceled,office_furniture,459.63,1
canceled,kitchen_dining_laundry_garden_furniture,422.04,2
canceled,luggage_accessories,371.12,4
canceled,air_conditioning,337.62,2
canceled,furniture_living_room,327.43,2
canceled,costruction_tools_garden,245.4,2
canceled,fashion_shoes,233.23,2
canceled,home_appliances,219.13,2
canceled,food,167.66,1
canceled,construction_tools_construction,148.31,2
canceled,market_place,140,1
canceled,home_construction,86.74,1
canceled,food_drink,79.37,2
canceled,drinks,69.2,1
canceled,fashion_male_clothing,56.78,1
canceled,art,51.6,1
canceled,diapers_and_hygiene,40.02,1
canceled,audio,27.68,1
canceled,christmas_supplies,20.93,1
